Item,Image,RoiID,ROIArea,Mean_488_(LGI),Mean_56_ (GJD2),Mean_647_(SST)
53,SST LGI GJD013.nd2,2,652.53,27.7,1508.47,410
69,SST LGI GJD019.nd2,1,138.53,52.06,1228.31,436.9
43,SST LGI GJD011.nd2,5,77.51,102.42,1284.43,907.29
23,SST LGI GJD008.nd2,3,58.26,112.52,843.45,1370.73
50,SST LGI GJD012.nd2,5,198.62,120.17,1530.86,499.5
29,SST LGI GJD009.nd2,4,59.62,140.79,744.35,1813.11
52,SST LGI GJD013.nd2,1,489.77,141.24,2045.11,6.75
34,SST LGI GJD010.nd2,3,86.61,144.72,1394.82,909.16
28,SST LGI GJD009.nd2,3,93.09,226.87,0,3776.04
66,SST LGI GJD018.nd2,1,60.04,233.33,118.32,1851.85
49,SST LGI GJD012.nd2,4,408.46,255.34,2018.01,37.93
51,SST LGI GJD012.nd2,6,239.84,267.25,2159.74,176.79
27,SST LGI GJD009.nd2,2,95.91,267.42,0,3363.32
61,SST LGI GJD016.nd2,4,162.1,267.7,0,4229.61
71,SST LGI GJD019.nd2,3,236.69,272.62,1726.85,167.17
70,SST LGI GJD019.nd2,2,359.59,272.99,1770.89,91.78
60,SST LGI GJD016.nd2,3,217.78,319.27,0,3052.58
18,SST LGI GJD007.nd2,2,36.15,327.74,320.73,2379.91
59,SST LGI GJD016.nd2,2,127.27,328,622,1555.71
26,SST LGI GJD009.nd2,1,117.17,342.79,0,3682.62
54,SST LGI GJD013.nd2,3,220.92,349.59,2289.1,52.02
75,SST LGI GJD021.nd2,1,126.56,359.66,999.28,1100.2
68,SST LGI GJD018.nd2,3,157.64,366.09,1624.53,633.42
57,SST LGI GJD015.nd2,3,204.44,388.91,0,3117.21
24,SST LGI GJD008.nd2,4,91.31,400.19,2253.98,329.64
48,SST LGI GJD012.nd2,3,322.18,417.44,2126.69,2.62
5,SST LGI GJD003.nd2,1,203.83,430.46,1510.47,882.05
55,SST LGI GJD015.nd2,1,135.76,437.6,0,5952.31
56,SST LGI GJD015.nd2,2,107.93,471.98,271.4,2038.59
8,SST LGI GJD004.nd2,3,140.04,485.83,0,6492.4
13,SST LGI GJD005.nd2,4,107.97,491.84,74,2481.02
47,SST LGI GJD012.nd2,2,174.54,498.97,2388.75,17.08
7,SST LGI GJD004.nd2,2,78.44,518.58,1983.91,551.09
21,SST LGI GJD008.nd2,1,106.28,531.05,2344.32,88.14
45,SST LGI GJD011.nd2,7,89.1,531.41,2306.84,15.83
22,SST LGI GJD008.nd2,2,119.8,578.35,1983.78,159.65
35,SST LGI GJD010.nd2,4,229.65,592.54,1783.96,677.71
1,SST LGI GJD002.nd2,1,262.94,600.13,1759.18,359.51
46,SST LGI GJD012.nd2,1,184.3,603.29,1171.34,1175.73
16,SST LGI GJD006.nd2,2,47.13,608.94,0,4300.64
6,SST LGI GJD004.nd2,1,86.19,624.4,2685.82,427.5
44,SST LGI GJD011.nd2,6,157.12,637.63,1752.85,811.66
9,SST LGI GJD004.nd2,4,20.89,638.03,2418.85,306.12
32,SST LGI GJD010.nd2,1,114.83,643.51,2345.57,41.13
67,SST LGI GJD018.nd2,2,188.15,662.03,2254.92,359.64
37,SST LGI GJD010.nd2,6,164.59,675.15,2816.28,160.98
25,SST LGI GJD008.nd2,5,123.7,685.45,2011.53,137.53
41,SST LGI GJD011.nd2,3,127.31,722.57,2881.25,187.48
40,SST LGI GJD011.nd2,2,279.23,744.4,2558.31,143.37
64,SST LGI GJD017.nd2,3,151.87,757.9,2011.28,413.12
14,SST LGI GJD005.nd2,5,116.61,774.92,2019.92,435.67
58,SST LGI GJD016.nd2,1,165.43,779.21,2121.77,201.33
31,SST LGI GJD009.nd2,6,112.43,788.49,2424.02,292.26
36,SST LGI GJD010.nd2,5,344.76,802.03,2563.87,109.47
65,SST LGI GJD017.nd2,4,118.39,826.8,429.27,2076.84
11,SST LGI GJD005.nd2,2,95.63,848.3,2239.11,698.8
4,SST LGI GJD002.nd2,4,179.66,911.07,1984.58,324.09
30,SST LGI GJD009.nd2,5,161.07,1081.07,2832.23,292.29
12,SST LGI GJD005.nd2,3,101.78,1081.73,2638.04,295.59
42,SST LGI GJD011.nd2,4,205.34,1082.31,2572.74,119.73
3,SST LGI GJD002.nd2,3,159.8,1116.26,2071.83,429.23
72,SST LGI GJD020.nd2,1,268.76,1130.09,1718.6,308.74
15,SST LGI GJD006.nd2,1,215.1,1140.65,2319.19,544.66
62,SST LGI GJD017.nd2,1,255.52,1155.65,2123.98,343.12
10,SST LGI GJD005.nd2,1,97.22,1159.3,1993.79,395.77
38,SST LGI GJD010.nd2,7,197.26,1169.79,2624.98,64.67
17,SST LGI GJD007.nd2,1,156.56,1191.24,2479.07,233.13
2,SST LGI GJD002.nd2,2,143.46,1252.21,2261.81,284.12
39,SST LGI GJD011.nd2,1,149.1,1274.78,2675.36,237.18
33,SST LGI GJD010.nd2,2,148.81,1325.96,2704.14,237.58
206,SST LGI GJD022.nd2,2,195.2,1428.43,2247.3,294.92
74,SST LGI GJD020.nd2,3,217.31,1442.04,1946.23,286.26
19,SST LGI GJD007.nd2,3,120.22,1442.96,3144.89,401.76
63,SST LGI GJD017.nd2,2,54.78,1472.9,2233.69,518.45
73,SST LGI GJD020.nd2,2,200.27,1595.36,2137.18,191.17
20,SST LGI GJD007.nd2,4,47.65,1607.17,2710.29,334.75
76,SST LGI GJD021.nd2,2,203.88,1992.58,2171.39,322.68
